AlmCve,PParte,PDescrip,PExis,PPasillo,PUbica
02,058C,FRT CHG,1,,
02,058C 41.4,FRT CHG,1,,
02,10228,TAPON RADIADOR,1,02L,2335
02,10461053,MOTOR,1,06F,5052
02,10461053CR,CORE,1,CORE,
02,10461717,MOTOR DE  ARRANQUE,1,06F,5055
02,10478812,MOTOR,1,06F,5051
02,10478890,ARRANCADOR 37MT 12 VOLT 10 DIENTES,1,06F,5058
02,105911R1,BARRA (SPI-46675),1,02E,1646
02,120044825I,ESPEJO RETROVISOR IZQUIERDO,1,05F,4215
02,120180,MOBIL 80W 140,1,,
02,121762R92,CRUCETA 5-280X,1,05H,4432
02,124317H,YUGO,1,02E,1661
02,1614914C2,FAN CLUTCH 7.3L,1,02B,1322
02,1621218C1,BULBO BAJA PRESION 2 PATAS NC,1,01F,0621
02,1647406C2,HOSE,1,02F,1717
02,1648591C91,ANTENNA,1,02E,1623
02,1651281C91,SEAL,1,01C,0357
02,1652307C2,CYLINDER,1,CBL,063
02,1653421C91,VALVE,1,02L,2328
02,1653796C5,PANEL,1,05D,4014
02,1655173C91,MIRROR,1,01G,0764
02,1655624C2,ESPEJO RETROVISOR,1,01G,0748
02,1657282C1,YUGO CRUCETA 279,1,05G,4338
02,1657334C91,FLANGE,1,05G,4339
02,1658486C5,TOLVA SHROUD,1,04F,3401
02,1658560C91,LUZ INTERIOR CABINA,1,01H,0845
02,1659729C1,ELBOW,1,02F,1727
02,1660414C1,YUGO ABIERTO 1610,1,05G,4318
02,1660417C1,YUGO ABIERTO 46T I.D.2-3/8 1810,1,05H,4449
02,1661234C3,SWITCH LUCES DELANTEROS 2 PASOS,1,CBL,061
02,1661237C2,INTERRUPTOR WIPERS 5 PATAS PUENTEADO,1,CBL,052
02,1661757C1,ABRAZADERA,1,04G,3543
02,1661762C93,LUZ DIRECCIONAL DERECHA,1,06B,4644
02,1661769C1,"VOLANTE DE DIRECCION 18""",1,06E,4961
02,1662145C91,YUGO 1810 5-281X 46T 2.374/3.250,1,05G,4331
02,1662248C91,FLANGE,1,05G,4338
02,1662276C1,ANILLO,1,02E,1641
02,1662768C1,SHAFT,1,05B,3849
02,1664103C3,HOSE,1,02A,1257
02,1665374C91,BEARING,1,05H,4421
02,1669501C92,END,1,SIN L,
02,1669810C1,BOTA COLUMNA DIRECCION 4900,1,01H,0862
02,1671686C2,MARCADOR TEMPERATURA AGUA,1,01F,0625
02,1671734C1,MANGUERA INFERIOR RADIADOR,1,02F,1718
02,1674053C1,ABRAZADERA,1,04G,3549
02,1674315C91,SWITCH,1,01F,0672
02,1675169C92,LEVER,1,02D,1535
02,1675182C1,NUT,1,02C,1454
02,1675871C91,LEVER,1,04H,3651
02,1675874C2,ANGLE,1,04B,3049
02,1677433C1,CONTRACHAPA DERECHA  (R),1,01H,0854
02,1677435C2,LOCK    001,1,01H,0829
02,1677878C1,XSEAL    001,1,01H,0863
02,1677879C91,PALANCA DIRECCION,1,01G,0715
02,1680181C1,ARM,1,04F,3427
02,1680243C4,TANQUE,1,06E,4922
02,1681030C92,KIT,1,02B,1341
02,1682071C91,TACOMETRO,1,01F,0662
02,1684290C91,KIT,1,02J,2111
02,1684560C92,SENSOR TEMPERATURA FAN CLUTCH S60 205NC,1,01F,0626
02,1685150C1,XTACHOMTR001,1,01F,0665
02,1687590C1,GAUGE,1,02F,1754
02,1687631C1,PIPE,1,04H,3636
02,1689523C91,FLANGE,1,05G,4319
02,1690117C91,SWITCH,1,CBL,064
02,1690256C1,GAUGE,1,01F,0671
02,1690273C1,XGAUGE   001,1,01F,0643
02,1691142C2,SEAL,1,05B,3849
02,1691145C2,SEAL,1,05B,3849
02,1691291C92,CYLINDER,1,01A,0153
02,1691825C91,SPIDER  001,1,02H,1964
02,1691877C1,BUJE,1,02E,1651
02,1692872C91,KIT LIGAS BOMBA POWER,1,06P,5362
02,1693531C1,TUBE,1,04F,3441
02,1693536C1,TERMINAL,1,04F,3442
02,1695714C91,END,1,04F,3453
02,1695909C1,PANAL DE FOCO,1,06E,4963
02,1696916C91,KIT U-JT 1810,1,05H,4438
02,1697535C91,SELECTOR 16 VELOCIDADES,1,02E,1637
02,1698743C92,RADIADOR S60,1,STOCK,SERV
02,1699680C1,MANGUERA,1,02F,1749
02,1699843C91,FILTRO RACOR   R90P,1,03E,2825
02,1700707C1,ABANICO DE METAL   9.0,1,06E,4923
02,1800029C1,BASE ALUMINIO P/FILTRO DE AGUA DT466,1,03E,2858
02,1802666C92,BOMBA ACEITE REP. DT360/DT466 (R),1,02J,2113
02,1803200C1,POLEA,1,02D,1533
02,1804009C91,RETEN CIGUEÑAL DELANTERO 7.3L/9.0L,1,02C,1457
02,1804052C1,EMPAQUE DE PUNTERIAS,1,06D,4825
02,1804259C7,GASKET,1,06D,4825
02,1804495C93,PUMP    001,1,02J,2118
02,1807417C95,HARNESS,1,01G,0722
02,1807453C94,HARNESS,1,06C,4746
02,1807974C94,TERMOSTATO 6.9L/7.3L 195 GRADOS,1,02A,1233
02,1809058C2,TORNILLO CABEZA 7.3L,1,02C,1457
02,1810510C3,EMPAQUE CUBIERTA FRONTAL,1,06D,4829
02,1810818C91,BOMBA TRANSFERENCIA DT360,1,02J,2115
02,1810855C93,"VOLANTE MOTOR FLYWHEEL DT466 14""",1,02L,2359
02,1811059C92,CONTROLADOR E7TZ12B533A,1,01F,0662
02,1811059C93,CONTROL,1,01F,0662
02,1812321C91,METALES DE BIELA STD 7.3,1,02A,1216
02,1812568C91,BOMBA TRANSFERENCIA ELEVACION DT466 BOSC,1,02J,2118
02,1812818C93,SENSOR CONTROL PRESION INYECCION (ICP),1,02A,1243
02,1813823C1,ANILLOS,1,06P,5342
02,1813859C91,"INYECTOR ""G"" DT/DTA360",1,02E,1639
02,1813859C91CR,CORE INYECTOR,1,CORE,
02,1813868C1,SOLENOIDE DE PARO DE MOTOR DT360,1,02J,2121
02,1813892C1,BASE GUIA BOTADORES DT466,1,02C,1452
02,1814149C2,ESCAPE MANIFOLD FRT/RR,1,02C,1469
02,1814913C92,PACKAGE,1,06D,4843
02,1814927C1,BANDA 11/16X IHC,1,BND2,P2
02,1815560C1,LIGA,1,06P,5364
02,1815561C1,LIGA,1,10PC,
02,1815915C1,TAPA DISTRIBUCION,1,06E,4942
02,1817253C95,MEDIA REPARACION,1,,
02,1817255C95,EMPAQUE CABEZAS DT/DTA360 (JGO),1,06D,4845
02,1817510C1,EMPAQUE TAPA DISTRIBUCION DT466,1,06D,4831
02,1817674C1,STRAINER,1,03E,2853
02,1817849C3,GASKET,1,06P,5214
02,1818716C5,EMPAQUE TAPA DELANTERA SUCCION ACEITE,1,06D,4817
02,1819546C1,EMPAQUE CABEZA DT/DTA360,1,06D,4838
02,1819547C1,EMPAQUE CABEZA DT466,1,06D,4839
02,1819733C91,RETEN TRASERO CIGUEÑAL 7.3,1,02C,1446
02,1820299C1,GEAR,1,02D,1524
02,1820311C2,XTUBE    001,1,04H,3635
02,1820325C3,TUBE,1,02A,1255
02,1820326C1,MANGUERA,1,02A,1255
02,1820823C1,ESPACIADOR FAN CLUTCH,1,02B,1351
02,1820936C1,GASKET,1,02B,1317
02,1820953C4,GAUGE,1,02F,1756
02,1821668C2,TUBE,1,02A,1256
02,1822050C93,SOPORTE VENTILADOR DT466,1,02B,1344
02,1822120C1,EMPAQUE TURBO DT466E/444E  (R),1,06P,5344
02,1822190C94,PORTA FILTRO,1,02J,2126
02,1822313C1,FILTRO AGUA =WF2106  (R),1,03E,2832
02,1822326C92,BOMBA ACEITE DT466E (TODOS) SN 1194038,1,02J,2127
02,1822494C91,METALES BANCADA .010 1/2 LUNAS DT-466,1,02A,1213
02,1822503C2,BANDA SERPENTINA DT466,1,BANDA,A05
02,1822597C1,RING,1,02E,1642
02,1822649C1,TERMOSTATO,1,02A,1232
02,1822679C4,POLEA TENSORA BANDA,1,02B,1354
02,1822712C1,EMPAQUE TAPON DE CARTER / GASKET DRAIN,1,02C,1456
02,1822831C3,BELT,1,BANDA,A06
02,1822834C92,SEAL,1,01C,0362
02,1823452C1,VALVULA,1,02C,1424
02,1823740C93,PAN,1,06E,4935
02,1823860C91,METALES BANCADA .010(JGO),1,02A,1224
02,1823861C91,METALES,1,02A,1225
02,1823862C91,BEARING,1,02A,1211
02,1823924C93,LEVA,1,02J,2122
02,1824451C1,SENSOR,1,02A,1244
02,1824736C1,LIGA ENFRIADOR DE ACITE,1,06P,5365
02,1825181C91,PACKAGE,1,03E,2853
02,1825473C92,BOMBA SEBADORA BOMBA TRANSFERENCIA DT466,1,P1,LATE
02,1825509C94,SOPORTE ABANICO NGV,1,02B,1345
02,1825585C2,PISTON,1,02E,1667
02,1826322C96,1/2 REPARACION,1,STOCK,SERV
02,1826335C92,COVER,1,06F,5023
02,1826634C94,PACKAGE,1,01F,0632
02,1827689C91,BASE FILTRO,1,02C,1447
02,1830063C95,1/2 REPARACION DT466PLN 1993-94 HP,1,STOCK,SERV
02,1830327C2,GASKET,1,06D,4842
02,1830596C91,CRNKSHFT,1,05A,3769
02,1830596C91CR,CORE,1,CORE,3769
02,1830623C1,CARCAZA DE ALUMINIO  (R),1,02B,1342
02,1830624C1,XCOVER   001,1,06E,4924
02,1830813C92,BOMBA ACEITE 444E,1,02J,2116
02,1830844C93,HARNES INYECTORES DT444,1,01F,0673
02,1831487C93,INYECTOR AD 444E V-8,1,02C,1429
02,1831487C93CR,CORE INYECTOR DT444E,1,CORE,CORE
02,1831666C1,EMPAQUE,1,06P,5363
02,1831676C92,PACKAGE,1,02J,2165
02,1831676C92CR,CORE BOMBA AGUA,1,CORE,
02,1831680C94,EMPAQUES TAPA DELANTERA (JGO),1,06C,4741
02,1831680C95,PACKAGE,1,06C,4739
02,1833009C2,BANDA MOTOR SERPENTINA 8PK1778 4400,1,BANDA,A08
02,1833341C6,ECM TIPO AYB,1,01F,0615
02,1833341C6CR,CORE DE ECM,1,CORE,0615
02,1833357C95,KIT BOMBA,1,02J,2134
02,1833446C95,KIT,1,SIN L,
02,1833701C1,FITTING,1,02C,1461
02,1834256C1,SELLO TUBO DE ACEITE VT365,1,06P,5362
02,1835213C1,EMPAQUE INFERIOR VT365,1,06P,5225
02,1835215C1,GASKET,1,06P,5224
02,1835923C93,SENSOR ICP VT365,1,02A,1248
02,1836020C91,METALES BIELA STD (JG0) DT466E 2001,1,02A,1218
02,1836082C92,PAN AYB,1,06E,4936
02,1836093C92,TURBOCARGADOR AYB,1,04G,3558
02,1836093C92CR,CORE TURBO AYB,1,CORE,
02,1836094C93CR,CORE TURBOCARGADOR,1,CORE,CORE
02,1836300C98,KIT,1,SIN L,
02,1836321C2,PISTON,1,02E,1669
02,1836556C1,EMPAQUE CUBIERTA DELANTERA VT365,1,06C,4821
02,1837730C2,VARILLA EMPUJE VT365,1,02C,1464
02,1838250C1,EMPAQUE TAPA DE PUNTERIAS VT365,1,06D,4833
02,1839368C2CR,CORE MODULO,1,CORE,
02,1839471C1,CODO 90 GRADOS 1/4 X 3/8,1,P1,LATE
02,1839654C1,PLATE FLEXIBLE,1,02D,1562
02,1839824C91,KIT,1,,
02,1840539C91,MANGUERA,1,02A,1264
02,1840622C92,BALANCIN COMPLETO VT365,1,02E,1657
02,1840702C97,EMPAQUE EGR MULTIPLE VT365,1,06C,4747
02,1840749C91,SELLO FILTRO DIESEL VT365,1,06P,5363
02,1841391C92,XKIT,1,STOCK,SERV
02,1841575C1,BANDA,1,BANDA,A12
02,1841745C92,KIT,1,02B,1354
02,1842115C1,RING,1,06P,5213
02,1842593C92,KIT,1,02J,2131
02,1842653C91,XELBOW   001,1,02A,1241
02,1842664C92,KIT,1,02J,2114
02,1842664C92CR,CORE DE BOMBA AGUA,1,CORE,
02,1842906C92,REPARACION BOMBA ALTA PRESION (JGO),1,06P,5233
02,1843682C91,LIGAS INJECTOR VT365 (JGO),1,06P,5333
02,1844032C1,GASKET,1,06P,5221
02,1845428C91,SENSOR CONTROL PRESION INYECCION (ICP),1,02A,1242
02,1845605C92,KIT ANILLOS,1,02C,1419
02,1845804C2,TERMOSTATO,1,02A,1234
02,1846154C95,HARNESS,1,06C,4748
02,1846296C91,VALVULA EGR,1,02J,2131
02,1847084C93,BOMBA ALTA PRESION VT365,1,02J,2148
02,1850011C91,KIT,1,STOCK,SERV
02,1850349C91,KIT,1,02J,2167
02,1854274C91,KIT     001,1,06P,5355
02,1873481C91,CABEZA,1,06E,4964
02,1873481C91CR,CORE CABEZA,1,CORE,CORE
02,1873875C92,ROD,1,02J,2144
02,1873875C92CR,CORE,1,CORE,
02,1874253C1,PASADOR,1,02E,1642
02,1875784C92,SENSOR,1,02A,1248
02,1878285C91,KIT,1,06A,4511
02,1878285C91CR,CORE,1,CORE,
02,1880061C1,HOSE,1,02A,1251
02,19020901,ALTERNADOR,1,06F,5049
02,1R12402,BOLSA AIRE,1,04B,3029
02,2000231C1,NUT,1,02I,2017
02,2002611C2,GAUGE,1,04H,3623
02,2004504C1,PIPE,1,SIN L,
02,2004505C91,XSWITCH  001,1,01H,0815
02,2005599C3,MANGUERA CODO 90 TURBO,1,02F,1729
02,2006809C91,METER,1,01F,0671
02,2007021C91,CABLE ACELERADOR,1,CBL,007
02,2007308C1,INTERRUPTOR FRENO DE MOTOR 9200,1,01F,0634
02,2007891C1,SWITCH,1,CBL,066
02,2009864C1,HOUSING,1,STOCK,SERV
02,2010094C2,SWITCH,1,CBL,054
02,2010376C1,CONNECTR,1,MSC,
02,2010412C92,PUMP    001,1,02J,2143
02,2010629C91,HERNESS,1,CBL,083
02,2011569C2,TUBE,1,02A,1256
02,2011888C3,CABLE,1,CBL,072
02,2012149C2,TIRANTE,1,02E,1665
02,2013006C1,FLANGE,1,05G,4319
02,2016403C2,EMBRAGUE A/C IHC 1 CABLE,1,02B,1346
02,2017791C91,FLANGE,1,05G,4319
02,2018471C1,MOFLE AYB,1,04A,2922
02,2021064C1,COOLER  001,1,06E,4944
02,2022048C1,FAN,1,06F,5042
02,2022683C92,TACHOMTR,1,01F,0665
02,2023042C2,CHICOTE COFRE,1,01H,0846
02,2023685C1,AMORTIGUADOR TRASERO CABINA 9400/9200,1,06G,5133
02,2024703C2,MANGUERA HULE TURBO,1,02F,1749
02,2028432C1,EMBLEMA,1,02B,1326
02,2030772C1,MANGUERA TURBOCARGADOR DT466E,1,02F,1749
02,2031489C1,INTERRUPTOR,1,01F,0636
02,2031753C1,ABRAZADERA,1,04G,3531
02,2032342C91,VALVULA NEGRA SENCILLA PR-2,1,02K,2253
